"clunky";"неуклюжий";;;"What I didn’t like, however, was how c <b>clunky</b> they were.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2x1bmt5e5901117.mp3]";"What I didn’t like, however, was how c {{c1::clunky}} they were.";;"Слова из интернета"
"persuade";"убедить";;"pərˈsweɪd";"Slow down, you move too fast<br>Grammar<br>Vocabulary<br>Attachments<br>All notes<br><br>Sandra is trying to  <b>persuade</b>  Aileen to go to a party, but Aileen doesn't want to go.";"[sound:https://audiocdn.lingualeo.com/v2/1/cGVyc3VhZGU=a69ccaae.mp3]";"Slow down, you move too fast<br>Grammar<br>Vocabulary<br>Attachments<br>All notes<br><br>Sandra is trying to  {{c1::persuade}}  Aileen to go to a party, but Aileen doesn't want to go.";;"Слова из интернета"
"range";"диапазон";;"reɪnʤ";"length - 1][1]. <br>}<br>S <b>range</b>  project.";"[sound:https://audiocdn.lingualeo.com/v2/1/cmFuZ2U=bb641841.mp3]";"length - 1][1]. <br>}<br>S {{c1::range}}  project.";;"Слова из интернета"
"retire";"пенсия";;"rɪˈtaɪr";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/cmV0aXJlc00c7728.mp3]";"text";;"Слова из интернета"
"fiance";"жених";;"fiˈɑːnsɛɪː";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/ZmlhbmNle00436ff.mp3]";"text";;"Слова из интернета"
"divorce";"развод";;"dɪˈvɔrs";"Exams<br>Select the correct variant<br> She won't go to the party <br>if<br>unless<br> Rob is there, because they don't get on well after the  <b>divorce</b> .";"[sound:https://audiocdn.lingualeo.com/v2/1/ZGl2b3JjZQ==555715be.mp3]";"Exams<br>Select the correct variant<br> She won't go to the party <br>if<br>unless<br> Rob is there, because they don't get on well after the  {{c1::divorce}} .";;"Слова из интернета"
"driveway";"подъездная дорожка";;"ˈdraɪˌvweɪ";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/ZHJpdmV3YXk=337a41e9.mp3]";"text";;"Слова из интернета"
"shatterproof";"небьющийся";;"ʃˈætəpruf";"swiveling seat​<br><br>Learn More ➜<br> <br><br>Outdoor Innovations The Pathfinder versatile tent has plenty of room for up to 6 people​<br><br>Learn More ➜<br> <br><br>Razer Basilisk V2 Wired Gaming Mouse lets you customize 11 different buttons​<br><br>Learn More ➜<br> <br><br>IncrediBulb  <b>shatterproof</b>";"[sound:https://audiocdn.lingualeo.com/v2/1/c2hhdHRlcnByb29m14f64e05.mp3]";"swiveling seat​<br><br>Learn More ➜<br> <br><br>Outdoor Innovations The Pathfinder versatile tent has plenty of room for up to 6 people​<br><br>Learn More ➜<br> <br><br>Razer Basilisk V2 Wired Gaming Mouse lets you customize 11 different buttons​<br><br>Learn More ➜<br> <br><br>IncrediBulb  {{c1::shatterproof}}";;"Слова из интернета"
"durability";"износостойкость";;"djʊəːrəbˈɪlɪti";"<br><br>Read the Full Story ➜<br> <br><br>Nothing ear (1) lightweight earbuds use Clear Voice Technology and 3 high-definition mics<br><br>Learn More ➜<br> <br><br>Nokia XR20 rugged smartphone has a Corning Gorilla Glass Victus screen for  <b>durability</b> ​<br><br>Learn More ➜<br> <br><br>ROCCAT Torch microphone";"[sound:https://audiocdn.lingualeo.com/v2/1/ZHVyYWJpbGl0eQ==bbf3b504.mp3]";"<br><br>Read the Full Story ➜<br> <br><br>Nothing ear (1) lightweight earbuds use Clear Voice Technology and 3 high-definition mics<br><br>Learn More ➜<br> <br><br>Nokia XR20 rugged smartphone has a Corning Gorilla Glass Victus screen for  {{c1::durability}} ​<br><br>Learn More ➜<br> <br><br>ROCCAT Torch microphone";;"Слова из интернета"
"anxious";"озабоченный";;"ˈæŋkʃəs";"In serious cases these small things can often take over their lives completely, making them feel  <b>anxious</b>  about going out in public and making them depressed.";"[sound:https://audiocdn.lingualeo.com/v2/1/YW54aW91cw==59798d86.mp3]";"In serious cases these small things can often take over their lives completely, making them feel  {{c1::anxious}}  about going out in public and making them depressed.";;"Слова из интернета"
"sticking-out";"торчащий";;"stˈɪkɪŋ ˈaʊːt";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/c3RpY2tpbmctb3V000c7ea3e.mp3]";"text";;"Слова из интернета"
"unquestioningly";"беспрекословно";;;"Whatever the reason, there is  <b>unquestioningly</b>  that we have changed the ways we use the telephone connection.";"[sound:https://audiocdn.lingualeo.com/v2/1/dW5xdWVzdGlvbmluZ2x5f30de30a.mp3]";"Whatever the reason, there is  {{c1::unquestioningly}}  that we have changed the ways we use the telephone connection.";;"Слова из интернета"
"unaware";"не подозревающий";;"ʌnəwˈeəː";"hood of the includes method in Rails<br>Understand the way ActiveRecord is working<br>Paweł Dąbrowski<br>Published at 06-07-2021<br><br>The way the includes method work in Active Record is one of the most common questions during interviews, yet many developers are  <b>unaware</b>";"[sound:https://audiocdn.lingualeo.com/v2/1/dW5hd2FyZQ==d10e7b13.mp3]";"hood of the includes method in Rails<br>Understand the way ActiveRecord is working<br>Paweł Dąbrowski<br>Published at 06-07-2021<br><br>The way the includes method work in Active Record is one of the most common questions during interviews, yet many developers are  {{c1::unaware}}";;"Слова из интернета"
"aware";"осведомленный";;"əˈwer";"5 Use environment a <b>aware</b>  secure and hierarchical config<br><br>TL.DR: A perfect and flawless configuration setup should ensure (a) keys can be read from file AND from environment variable (b) secrets are kept outside committed code (c) config is hierarchical for easier";"[sound:https://audiocdn.lingualeo.com/v2/1/YXdhcmU=670f55b8.mp3]";"5 Use environment a {{c1::aware}}  secure and hierarchical config<br><br>TL.DR: A perfect and flawless configuration setup should ensure (a) keys can be read from file AND from environment variable (b) secrets are kept outside committed code (c) config is hierarchical for easier";;"Слова из интернета"
"distinction";"отличие";;"dɪˈstɪŋkʃən";"The  <b>distinction</b>  between these things is subtle but significant.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZGlzdGluY3Rpb24=44a74597.mp3]";"The  {{c1::distinction}}  between these things is subtle but significant.";;"Слова из интернета"
"ambiguous";"двусмысленный";;"æmbˈɪgjʊəːs";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/YW1iaWd1b3Vz4ad94230.mp3]";"text";;"Слова из интернета"
"unmortared";"безмолвный";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/dW5tb3J0YXJlZA==2841ed72.mp3]";;;"Мой словарь"
"peer down";"всматриваться";;"pɪr daʊn";;"[sound:https://audiocdn.lingualeo.com/v2/1/cGVlciBkb3du35cf186e.mp3]";;;"Мой словарь"
"watcher";"наблюдатель";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2252469.png'>";"wˈɒtʃə";"You're a good <b>watcher</b>, though, eh?";"[sound:https://audiocdn.lingualeo.com/v2/1/d2F0Y2hlcg==5bb8e568.mp3]";"You're a good {{c1::watcher}}, though, eh?";;"Мой словарь"
"distant";"удаленный";;"ˈdɪstənt";;"[sound:https://audiocdn.lingualeo.com/v2/1/ZGlzdGFudA==f2e86d19.mp3]";;;"Мой словарь"
"crotch";"промежность";"<img src='https://contentcdn.lingualeo.com/uploads/picture/262014.png'>";"krˈɒtʃ";"Split wide open from the <b>crotch</b> to the knee.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y3JvdGNoe508e34d.mp3]";"Split wide open from the {{c1::crotch}} to the knee.";;"Мой словарь"
"tug";"дёрнуть";;"tˈʌg";;"[sound:https://audiocdn.lingualeo.com/v2/1/dHVn1b60b313.mp3]";;;"Мой словарь"
"grinning";"ухмыляясь";;"grˈɪnɪŋ";;"[sound:https://audiocdn.lingualeo.com/v2/1/Z3Jpbm5pbmc=a5ab154a.mp3]";;;"Мой словарь"
"crumple";"помять";;"krˈʌmpl";;"[sound:https://audiocdn.lingualeo.com/v2/1/Y3J1bXBsZQ==58a52ea2.mp3]";;;"Мой словарь"
"miserable";"несчастный";;"ˈmɪz(ə)rəbl]";;"[sound:https://audiocdn.lingualeo.com/v2/1/bWlzZXJhYmxl83662840.mp3]";;;"Мой словарь"
"stubborn";"упрямый";"<img src='https://contentcdn.lingualeo.com/uploads/picture/34226.png'>";"ˈstʌbərn";"You're a <b>stubborn</b> bastard.";"[sound:https://audiocdn.lingualeo.com/v2/1/c3R1YmJvcm4=a12132fa.mp3]";"You're a {{c1::stubborn}} bastard.";;"Мой словарь"
"knelt";"колено";;"nˈelt";"She went over to the altar and <b>knelt</b> down to pray.";"[sound:https://audiocdn.lingualeo.com/v2/1/a25lbHQ=e7b3cc1f.mp3]";"She went over to the altar and {{c1::knelt}} down to pray.";;"Мой словарь"
"ought";"должный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/869399.png'>";"ɔt";"You <b>ought</b> to see what they've got on the other side.";"[sound:https://audiocdn.lingualeo.com/v2/1/b3VnaHQ=7855c5f3.mp3]";"You {{c1::ought}} to see what they've got on the other side.";;"Мой словарь"
"dare";"посметь";"<img src='https://contentcdn.lingualeo.com/uploads/picture/786392.png'>";"der";"You mean, you've told me all you <b>dare</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZGFyZQ==4295c858.mp3]";"You mean, you've told me all you {{c1::dare}}.";;"Мой словарь"
"intently";"сосредоточенно";;"ɪnˈtɛntli";;"[sound:https://audiocdn.lingualeo.com/v2/1/aW50ZW50bHk=d8d96c5e.mp3]";;;"Мой словарь"
"hearth";"камин";"<img src='https://contentcdn.lingualeo.com/uploads/picture/490217.png'>";"hˈɑːθ";"Right in front of the <b>hearth</b> there.";"[sound:https://audiocdn.lingualeo.com/v2/1/aGVhcnRoe90521a7.mp3]";"Right in front of the {{c1::hearth}} there.";;"Мой словарь"
"drafty";"сквозняк";;"drˈɑːfti";;"[sound:https://audiocdn.lingualeo.com/v2/1/ZHJhZnR5e5eaaf27.mp3]";;;"Мой словарь"
"log-and-plank";"бревенчатый";;"lˈɒg ənd plˈæŋk";;"[sound:https://audiocdn.lingualeo.com/v2/1/bG9nLWFuZC1wbGFuaw==0297fac8.mp3]";;;"Мой словарь"
"shattered";"разрушенный";;"ʃˈætəd";;"[sound:https://audiocdn.lingualeo.com/v2/1/c2hhdHRlcmVk4bf63066.mp3]";;;"Мой словарь"
"atop";"на верху";;"ətˈɒp";;"[sound:https://audiocdn.lingualeo.com/v2/1/YXRvcA==8fcc2ffb.mp3]";;;"Мой словарь"
"linger";"задерживаться";;"lˈɪŋgə";;"[sound:https://audiocdn.lingualeo.com/v2/1/bGluZ2Vy247c93df.mp3]";;;"Мой словарь"
"vengeful";"мстительный";;"vˈendʒfl";;"[sound:https://audiocdn.lingualeo.com/v2/1/dmVuZ2VmdWw=aae82a4e.mp3]";;;"Мой словарь"
"grim";"мрачный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/132586.png'>";"grˈɪm";"- It's much too <b>grim</b> and earnest.";"[sound:https://audiocdn.lingualeo.com/v2/1/Z3JpbQ==29b28ac9.mp3]";"- It's much too {{c1::grim}} and earnest.";;"Мой словарь"
"slimy";"скользкий";;"slˈaɪmi";"You dirty... <b>slimy</b> freaks!";"[sound:https://audiocdn.lingualeo.com/v2/1/c2xpbXk=95432901.mp3]";"You dirty... {{c1::slimy}} freaks!";;"Мой словарь"
"waist-deep";"по пояс";;"wˈeɪːst dˈiːp";;"[sound:https://audiocdn.lingualeo.com/v2/1/d2Fpc3QtZGVlcA==c4ce5f6c.mp3]";;;"Мой словарь"
"muck";"грязь";"<img src='https://contentcdn.lingualeo.com/uploads/picture/512581.png'>";"mˈʌk";"<b>Muck</b> and ignorance and fear, nothing human.";"[sound:https://audiocdn.lingualeo.com/v2/1/bXVjaw==aaf58a95.mp3]";"{{c1::Muck}} and ignorance and fear, nothing human.";;"Мой словарь"
"wade";"пробираться";;"wˈeɪːd";;"[sound:https://audiocdn.lingualeo.com/v2/1/d2FkZQ==282e908f.mp3]";;;"Мой словарь"
"assault";"напасть";"<img src='https://contentcdn.lingualeo.com/uploads/picture/56917.png'>";"əˈsɔlt";"I'm merely here to guarantee you protection against any unprovoked <b>assault</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/YXNzYXVsdA==8daadf49.mp3]";"I'm merely here to guarantee you protection against any unprovoked {{c1::assault}}.";;"Мой словарь"
"chuckle";"посмеиваться";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3441776.png'>";"ˈʧʌkəl";"It surprised me when he chuckled under his breath";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2h1Y2tsZQ==8684bca4.mp3]";"It surprised me when he chuckled under his breath";;"Мой словарь"
"quicksands";"зыбучие пески";;"kwˈɪksændz";;"[sound:https://audiocdn.lingualeo.com/v2/1/cXVpY2tzYW5kcw==1a4c53d7.mp3]";;;"Мой словарь"
"suckhole";"присоска";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/c3Vja2hvbGU=dca2cdc9.mp3]";;;"Мой словарь"
"teem";"изобиловать";;"tˈiːm";;"[sound:https://audiocdn.lingualeo.com/v2/1/dGVlbQ==acdef702.mp3]";;;"Мой словарь"
"impenetrable";"непроницаемый";;"ɪmpˈenɪtrəbl";;"[sound:https://audiocdn.lingualeo.com/v2/1/aW1wZW5ldHJhYmxldc4900ef.mp3]";;;"Мой словарь"
"causeway";"дамба";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3240332.png'>";"kˈɔːzwɛɪː";;"[sound:https://audiocdn.lingualeo.com/v2/1/Y2F1c2V3YXk=904c1db7.mp3]";;;"Мой словарь"
"formidable";"грозный";;"ˈfɔːrmɪdəbl";;"[sound:https://audiocdn.lingualeo.com/v2/1/Zm9ybWlkYWJsZQ==7e2207e4.mp3]";;;"Мой словарь"
"festooned";"украшенный";;"fɛstˈuːnd";;"[sound:https://audiocdn.lingualeo.com/v2/1/ZmVzdG9vbmVkf7e90300.mp3]";;;"Мой словарь"
"limbs";"конечности";"<img src='https://contentcdn.lingualeo.com/uploads/picture/85855.png'>";"lˈɪmz";"Necrotic <b>limbs</b> can't be surprised anymore";"[sound:https://audiocdn.lingualeo.com/v2/1/bGltYnM=7d12c6a3.mp3]";"Necrotic {{c1::limbs}} can't be surprised anymore";;"Мой словарь"
"gnarled";"сучковатый";;"nˈɑːld";;"[sound:https://audiocdn.lingualeo.com/v2/1/Z25hcmxlZA==a82d89c5.mp3]";;;"Мой словарь"
"moss";"мох";;"mɔs";"<b>Moss</b>, grass...";"[sound:https://audiocdn.lingualeo.com/v2/1/bW9zcw==b353c88c.mp3]";"{{c1::Moss}}, grass...";;"Мой словарь"
"rubble";"обломок";"<img src='https://contentcdn.lingualeo.com/uploads/picture/46085.png'>";"ˈrʌbl";"We need more <b>rubble</b>!";"[sound:https://audiocdn.lingualeo.com/v2/1/cnViYmxl74505bd5.mp3]";"We need more {{c1::rubble}}!";;"Мой словарь"
"spit";"плюнуть";"<img src='https://contentcdn.lingualeo.com/uploads/picture/97917.png'>";"spˈɪt";"The yellow rat was gonna <b>spit</b> in my eye.";"[sound:https://audiocdn.lingualeo.com/v2/1/c3BpdA==88e0f80c.mp3]";"The yellow rat was gonna {{c1::spit}} in my eye.";;"Мой словарь"
"crenellations";"зубчатые стены";;"krˈenəlɛɪːʃənz";;"[sound:https://audiocdn.lingualeo.com/v2/1/Y3JlbmVsbGF0aW9ucw==7ea55db4.mp3]";;;"Мой словарь"
"beast";"зверь";"<img src='https://contentcdn.lingualeo.com/uploads/picture/435764.png'>";"bist";"<b>Beast</b>, go !";"[sound:https://audiocdn.lingualeo.com/v2/1/YmVhc3Q=2ea85e0b.mp3]";"{{c1::Beast}}, go !";;"Мой словарь"
"call upon";"призвать";;"kˈɔːl əpˈɒn";;"[sound:https://audiocdn.lingualeo.com/v2/1/Y2FsbCB1cG9ub20ee3ce.mp3]";;;"Мой словарь"
"boggy";"болотистый";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/Ym9nZ3k=cc556628.mp3]";;;"Мой словарь"
"soil";"земля";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3268997.png'>";"sɔɪl";"- <b>Soil</b>...";"[sound:https://audiocdn.lingualeo.com/v2/1/c29pbA==f8e4f26b.mp3]";"- {{c1::Soil}}...";;"Мой словарь"
"half-sunk";"наполовину затонувший";;"hˈɑːf sˈʌŋk";;"[sound:https://audiocdn.lingualeo.com/v2/1/aGFsZi1zdW5r172f098b.mp3]";;;"Мой словарь"
"tumble";"падать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/69465.png'>";"tˈʌmbl";"You should have seen Brads face when you took that <b>tumble</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/dHVtYmxlbbdf4ebc.mp3]";"You should have seen Brads face when you took that {{c1::tumble}}.";;"Мой словарь"
"crofter";"фермер";;"krˈɒftə";;"[sound:https://audiocdn.lingualeo.com/v2/1/Y3JvZnRlcg==d8cc7d67.mp3]";;;"Мой словарь"
"glimpse";"взглянуть";;"ɡlɪmps";;"[sound:https://audiocdn.lingualeo.com/v2/1/Z2xpbXBzZQ==b12dfcce.mp3]";;;"Мой словарь"
"mist";"туман";"<img src='https://contentcdn.lingualeo.com/uploads/picture/117396.png'>";"mɪst";"It was like a <b>mist</b>... a crawling <b>mist</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/bWlzdA==a08c19c6.mp3]";"It was like a {{c1::mist}}... a crawling {{c1::mist}}.";;"Мой словарь"
"beyond";"за";;"bɪˈjɑːnd";;"[sound:https://audiocdn.lingualeo.com/v2/1/YmV5b25k5035bd52.mp3]";;;"Мой словарь"
"stomp";"топать";;"stˈɒmp";;"[sound:https://audiocdn.lingualeo.com/v2/1/c3RvbXA=46291eba.mp3]";;;"Мой словарь"
"pool";"пруд";;"pul";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/cG9vbA==0ea7bd92.mp3]";"text";;"Слова из интернета"
"soak";"поглощать";;"souk";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/c29haw==4323a434.mp3]";"text";;"Слова из интернета"
"ferry";"паром";;"ˈfɛri";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/ZmVycnk=006aba99.mp3]";"text";;"Слова из интернета"
"calf";"голень";;"kɑːf";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2FsZg==52387b79.mp3]";"text";;"Слова из интернета"
"youth";"молодость";;"juθ";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/eW91dGg=f383caec.mp3]";"text";;"Слова из интернета"
"frightened";"испуганный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3248571.png'>";"ˈfrʌɪtnd";"I'm <b>frightened</b>";"[sound:https://audiocdn.lingualeo.com/v2/1/ZnJpZ2h0ZW5lZA==e7d91a05.mp3]";"I'm {{c1::frightened}}";;"Мой словарь"
"bailey";"двор замка";;;"text";"[sound:https://audiocdn.lingualeo.com/v2/1/YmFpbGV5b70c8d77.mp3]";"text";;"Слова из интернета"
"wail";"плакать";;"wˈeɪːl";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/d2FpbA==d572a024.mp3]";"text";;"Слова из интернета"
"swordplay";"фехтование";;;"text";"[sound:https://audiocdn.lingualeo.com/v2/1/c3dvcmRwbGF526dae77d.mp3]";"text";;"Слова из интернета"
"peek";"заглядывать";;"pˈiːk";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/cGVlaw==45934c24.mp3]";"text";;"Слова из интернета"
"cellar";"подвал";"<img src='https://contentcdn.lingualeo.com/uploads/picture/9665.png'>";"ˈsɛlə";"I've been scared to go down in the <b>cellar</b> ever since.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2VsbGFy1084a88e.mp3]";"I've been scared to go down in the {{c1::cellar}} ever since.";;"Мой словарь"
"cavernous";"пещеристый";;"kˈævənəs";;"[sound:https://audiocdn.lingualeo.com/v2/1/Y2F2ZXJub3Vzaba83ab8.mp3]";;;"Мой словарь"
"vow";"клятва";;"vˈaʊː";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/dm939ba94302.mp3]";"text";;"Мой словарь"
"neck";"шея";;"nɛk";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/bmVjaw==5e4946cf.mp3]";"text";;"Слова из интернета"
"occasion";"возможность";"<img src='https://contentcdn.lingualeo.com/uploads/picture/308105.png'>";"əˈkeɪʒən";"Well, that gave me an <b>occasion</b> to travel.";"[sound:https://audiocdn.lingualeo.com/v2/1/b2NjYXNpb24=5e91c20c.mp3]";"Well, that gave me an {{c1::occasion}} to travel.";;"Мой словарь"
"interconnect";"связать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/25770.png'>";"ɪntəkənˈekt";;"[sound:https://audiocdn.lingualeo.com/v2/1/aW50ZXJjb25uZWN0c04974c4.mp3]";;;"Мой словарь"
"pill";"таблетка";;"pɪl";"<br>In the past, astronauts ate a type of food  <b>pill</b>  when they were in <br>.";"[sound:https://audiocdn.lingualeo.com/v2/1/cGlsbA==5b15f505.mp3]";"<br>In the past, astronauts ate a type of food  {{c1::pill}}  when they were in <br>.";;"Слова из интернета"
"irreversibly";"безвозвратно";;"ɪrɪvˈɜːsəbli";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/aXJyZXZlcnNpYmx58dbb4965.mp3]";"text";;"Слова из интернета"
"toward";"в направлении";;"təˈwɔrd";""" Dany looked down the lenghth of the long, roofless hall and there he was, striding  <b>toward</b>  her.";"[sound:https://audiocdn.lingualeo.com/v2/1/dG93YXJk853c5d47.mp3]";""" Dany looked down the lenghth of the long, roofless hall and there he was, striding  {{c1::toward}}  her.";;"Слова из интернета"
"clots";"сгустки";;"klˈɒts";""" He held out his cup, and a slave filled it with fermented mare's milk, sour-smelling and thick with  <b>clots</b> .";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2xvdHM=60c208c8.mp3]";""" He held out his cup, and a slave filled it with fermented mare's milk, sour-smelling and thick with  {{c1::clots}} .";;"Слова из интернета"
"indulgent";"снисходительный";;"ɪndˈʌldʒənt";"text";"[sound:https://audiocdn.lingualeo.com/v2/1/aW5kdWxnZW50598fbed9.mp3]";"text";;"Слова из интернета"
"tension";"напряжение";;"ˈtɛnʃən";"She could feel the  <b>tension</b>  in his fingers.";"[sound:https://audiocdn.lingualeo.com/v2/1/dGVuc2lvbg==66df19f3.mp3]";"She could feel the  {{c1::tension}}  in his fingers.";;"Слова из интернета"
"tender";"нежный";;"ˈtɛndər";"Translate<br>Translation types<br>translate<br>Text<br>insert_drive_file<br>Documents<br>Text translation<br>DETECT LANGUAGE<br>GERMAN<br>ENGLISH<br>RUSSIAN<br>swap_horiz<br>RUSSIAN<br>ENGLISH<br>SPANISH<br>Source text<br>c <b>tender</b> olume_up<br>454 / 5000<br>Translation results<br>Если она подавилась кровью или ее вырвало";"[sound:https://audiocdn.lingualeo.com/v2/1/dGVuZGVy851728aa.mp3]";"Translate<br>Translation types<br>translate<br>Text<br>insert_drive_file<br>Documents<br>Text translation<br>DETECT LANGUAGE<br>GERMAN<br>ENGLISH<br>RUSSIAN<br>swap_horiz<br>RUSSIAN<br>ENGLISH<br>SPANISH<br>Source text<br>c {{c1::tender}} olume_up<br>454 / 5000<br>Translation results<br>Если она подавилась кровью или ее вырвало";;"Слова из интернета"
